«¯”Ú1,«¯”Ú2,æ‡¿Î
31,68,469429
68,31,469429
31,70,512269
70,31,512269
31,72,507873
72,31,507873
31,75,471676
75,31,471676
31,77,478076
77,31,478076
34,36,22009
36,34,22009
34,39,20277
39,34,20277
34,38,199091
38,34,199091
34,41,282108
41,34,282108
34,45,284409
45,34,284409
34,47,215313
47,34,215313
34,48,323871
48,34,323871
34,52,298503
52,34,298503
34,54,188971
54,34,188971
34,55,341903
55,34,341903
34,57,288119
57,34,288119
34,60,245335
60,34,245335
34,63,304973
63,34,304973
34,64,343881
64,34,343881
34,65,260204
65,34,260204
34,66,147215
66,34,147215
34,69,287935
69,34,287935
34,71,239127
71,34,239127
34,73,343627
73,34,343627
34,74,318920
74,34,318920
34,76,192980
76,34,192980
34,78,317512
78,34,317512
34,79,344866
79,34,344866
34,2,338799
2,34,338799
34,4,392319
4,34,392319
34,5,381043
5,34,381043
34,6,374869
6,34,374869
34,7,323499
7,34,323499
34,8,352807
8,34,352807
34,11,417506
11,34,417506
34,12,340595
12,34,340595
34,13,302815
13,34,302815
34,16,281062
16,34,281062
34,18,426183
18,34,426183
34,19,366441
19,34,366441
34,20,459311
20,34,459311
34,21,460231
21,34,460231
34,23,465210
23,34,465210
34,25,417165
25,34,417165
34,28,411364
28,34,411364
34,32,344925
32,34,344925
34,33,299105
33,34,299105
34,35,520400
35,34,520400
34,37,496242
37,34,496242
34,40,494380
40,34,494380
34,42,537277
42,34,537277
34,43,568452
43,34,568452
34,44,461718
44,34,461718
34,46,531030
46,34,531030
34,49,500122
49,34,500122
34,50,527203
50,34,527203
34,51,469168
51,34,469168
34,53,475727
53,34,475727
34,56,489925
56,34,489925
34,58,451261
58,34,451261
34,59,494608
59,34,494608
34,61,466652
61,34,466652
34,62,449787
62,34,449787
34,67,474019
67,34,474019
34,68,475433
68,34,475433
34,70,524092
70,34,524092
34,72,520071
72,34,520071
34,75,478293
75,34,478293
34,77,480719
77,34,480719
36,39,11744
39,36,11744
36,38,224809
38,36,224809
36,41,293330
41,36,293330
36,45,295419
45,36,295419
36,47,222034
47,36,222034
36,48,337230
48,36,337230
36,52,306908
52,36,306908
36,54,190230
54,36,190230
36,55,358501
55,36,358501
36,57,298027
57,36,298027
36,60,248111
60,36,248111
36,63,314241
63,36,314241
36,64,351552
64,36,351552
36,65,258340
65,36,258340
36,66,156600
66,36,156600
36,69,299855
69,36,299855
36,71,246648
71,36,246648
36,73,358858
73,36,358858
36,74,336488
74,36,336488
36,76,195993
76,36,195993
36,78,333837
78,36,333837
36,79,350158
79,36,350158
36,2,345634
2,36,345634
36,4,396845
4,36,396845
36,5,392069
5,36,392069
36,6,383881
6,36,383881
36,7,331061
7,36,331061
36,8,355754
8,36,355754
36,11,423054
11,36,423054
36,12,350242
12,36,350242
36,13,308785
13,36,308785
36,16,276037
16,36,276037
36,18,433876
18,36,433876
36,19,375129
19,36,375129
36,20,448816
20,36,448816
36,21,463127
21,36,463127
36,23,470354
23,36,470354
36,25,419992
25,36,419992
36,28,420732
28,36,420732
36,32,354338
32,36,354338
36,33,306948
33,36,306948
36,35,490065
35,36,490065
36,37,477904
37,36,477904
36,40,471375
40,36,471375
36,42,510081
42,36,510081
36,43,540048
43,36,540048
36,44,446733
44,36,446733
36,46,498223
46,36,498223
36,49,464027
49,36,464027
36,50,506537
50,36,506537
36,51,455600
51,36,455600
36,53,450816
53,36,450816
36,56,472472
56,36,472472
36,58,441766
58,36,441766
36,59,477627
59,36,477627
36,61,455066
61,36,455066
36,62,421154
62,36,421154
36,67,451963
67,36,451963
36,68,461164
68,36,461164
36,70,494378
70,36,494378
36,72,493543
72,36,493543
36,75,442213
75,36,442213
36,77,454579
77,36,454579
39,38,226527
38,39,226527
39,41,291269
41,39,291269
39,45,306064
45,39,306064
39,47,225844
47,39,225844
39,48,337330
48,39,337330
39,52,301786
52,39,301786
39,54,194898
54,39,194898
39,55,354190
55,39,354190
39,57,298247
57,39,298247
39,60,245269
60,39,245269
39,63,314005
63,39,314005
39,64,354491
64,39,354491
39,65,263143
65,39,263143
39,66,163884
66,39,163884
39,69,300004
69,39,300004
39,71,245853
71,39,245853
39,73,355257
73,39,355257
39,74,331088
74,39,331088
39,76,199076
76,39,199076
39,78,332562
78,39,332562
39,79,346597
79,39,346597
39,2,349430
2,39,349430
39,4,402245
4,39,402245
39,5,394776
5,39,394776
39,6,391945
6,39,391945
39,7,334922
7,39,334922
39,8,362347
8,39,362347
39,11,430353
11,39,430353
39,12,349995
12,39,349995
39,13,315983
13,39,315983
39,16,278593
16,39,278593
39,18,437869
18,39,437869
39,19,379882
19,39,379882
39,20,452364
20,39,452364
39,21,467988
21,39,467988
39,23,475199
23,39,475199
39,25,410407
25,39,410407
39,28,425150
28,39,425150
39,32,351753
32,39,351753
39,33,311824
33,39,311824
39,35,498320
35,39,498320
39,37,482931
37,39,482931
39,40,483686
40,39,483686
39,42,514601
42,39,514601
39,43,544652
43,39,544652
39,44,451249
44,39,451249
39,46,497703
46,39,497703
39,49,475914
49,39,475914
39,50,512388
50,39,512388
39,51,471560
51,39,471560
39,53,458103
53,39,458103
39,56,487865
56,39,487865
39,58,453379
58,39,453379
39,59,483956
59,39,483956
39,61,463714
61,39,463714
39,62,426951
62,39,426951
39,67,458197
67,39,458197
39,68,466494
68,39,466494
39,70,505082
70,39,505082
39,72,492321
72,39,492321
39,75,457359
75,39,457359
39,77,460578
77,39,460578
38,41,69751
41,38,69751
38,45,87511
45,38,87511
38,47,36416
47,38,36416
38,48,104912
48,38,104912
38,52,94053
52,38,94053
38,54,21672
54,38,21672
38,55,115396
55,38,115396
38,57,91726
57,38,91726
38,60,47335
60,38,47335
38,63,78056
63,38,78056
38,64,118363
64,38,118363
38,65,76581
65,38,76581
38,66,52903
66,38,52903
38,69,87079
69,38,87079
38,71,63401
71,38,63401
38,73,115660
73,38,115660
38,74,111074
74,38,111074
38,76,23662
76,38,23662
38,78,109796
78,38,109796
38,79,117208
79,38,117208
38,2,99961
2,38,99961
38,4,130158
4,38,130158
38,5,178347
5,38,178347
38,6,114443
6,38,114443
38,7,125929
7,38,125929
38,8,82178
8,38,82178
38,11,142863
11,38,142863
38,12,99642
12,38,99642
38,13,140017
13,38,140017
38,16,60450
16,38,60450
38,18,199295
18,38,199295
38,19,149159
19,38,149159
38,20,193494
20,38,193494
38,21,182856
21,38,182856
38,23,190550
23,38,190550
38,25,133798
25,38,133798
38,28,179828
28,38,179828
38,32,133406
32,38,133406
38,33,66162
33,38,66162
38,35,375310
35,38,375310
38,37,332901
37,38,332901
38,40,394443
40,38,394443
38,42,423194
42,38,423194
38,43,427405
43,38,427405
38,44,394885
44,38,394885
38,46,356204
46,38,356204
38,49,409888
49,38,409888
38,50,382379
50,38,382379
38,51,340301
51,38,340301
38,53,411222
53,38,411222
38,56,388282
56,38,388282
38,58,359635
58,38,359635
38,59,375857
59,38,375857
38,61,401180
61,38,401180
38,62,352875
62,38,352875
38,67,385456
67,38,385456
38,68,380178
68,38,380178
38,70,333406
70,38,333406
38,72,346584
72,38,346584
38,75,386967
75,38,386967
38,77,390366
77,38,390366
41,45,15477
45,41,15477
41,47,64017
47,41,64017
41,48,30764
48,41,30764
41,52,31385
52,41,31385
41,54,71014
54,41,71014
41,55,40341
55,41,40341
41,57,11080
57,41,11080
41,60,15808
60,41,15808
41,63,18016
63,41,18016
41,64,39497
64,41,39497
41,65,24324
65,41,24324
41,66,55221
66,41,55221
41,69,8593
69,41,8593
41,71,27048
71,41,27048
41,73,41841
73,41,41841
41,74,35698
74,41,35698
41,76,68642
76,41,68642
41,78,26350
78,41,26350
41,79,41782
79,41,41782
41,2,82214
2,41,82214
41,4,72181
4,41,72181
41,5,79211
5,41,79211
41,6,77855
6,41,77855
41,7,82527
7,41,82527
41,8,94008
8,41,94008
41,11,64861
11,41,64861
41,12,76854
12,41,76854
41,13,106458
13,41,106458
41,16,101161
16,41,101161
41,18,97853
18,41,97853
41,19,65570
19,41,65570
41,20,104151
20,41,104151
41,21,111477
21,41,111477
41,23,115195
23,41,115195
41,25,75139
25,41,75139
41,28,82225
28,41,82225
41,32,75444
32,41,75444
41,33,74050
33,41,74050
41,35,441279
35,41,441279
41,37,384540
37,41,384540
41,40,471721
40,41,471721
41,42,467020
42,41,467020
41,43,465684
43,41,465684
41,44,452269
44,41,452269
41,46,426808
46,41,426808
41,49,480060
49,41,480060
41,50,447793
50,41,447793
41,51,401932
51,41,401932
41,53,452472
53,41,452472
41,56,441770
56,41,441770
41,58,434424
58,41,434424
41,59,409928
59,41,409928
41,61,452474
61,41,452474
41,62,445467
62,41,445467
41,67,458373
67,41,458373
41,68,423001
68,41,423001
41,70,422832
70,41,422832
41,72,420752
72,41,420752
41,75,438642
75,41,438642
41,77,452212
77,41,452212
45,47,81519
47,45,81519
45,48,16270
48,45,16270
45,52,19857
52,45,19857
45,54,91973
54,45,91973
45,55,34156
55,45,34156
45,57,13401
57,45,13401
45,60,20540
60,45,20540
45,63,19246
63,45,19246
45,64,30112
64,45,30112
45,65,22494
65,45,22494
45,66,70007
66,45,70007
45,69,15522
69,45,15522
45,71,27473
71,45,27473
45,73,33495
73,45,33495
45,74,19992
74,45,19992
45,76,91463
76,45,91463
45,78,21410
78,45,21410
45,79,27395
79,45,27395
45,2,89234
2,45,89234
45,4,68659
4,45,68659
45,5,80744
5,45,80744
45,6,75717
6,45,75717
45,7,89152
7,45,89152
45,8,80923
8,45,80923
45,11,71837
11,45,71837
45,12,83992
12,45,83992
45,13,112615
13,45,112615
45,16,101290
16,45,101290
45,18,102239
18,45,102239
45,19,72259
19,45,72259
45,20,104550
20,45,104550
45,21,109406
21,45,109406
45,23,114426
23,45,114426
45,25,75000
25,45,75000
45,28,84394
28,45,84394
45,32,71018
32,45,71018
45,33,87535
33,45,87535
45,35,445971
35,45,445971
45,37,380689
37,45,380689
45,40,455009
40,45,455009
45,42,467148
42,45,467148
45,43,466081
43,45,466081
45,44,450449
44,45,450449
45,46,425586
46,45,425586
45,49,460915
49,45,460915
45,50,447571
50,45,447571
45,51,404651
51,45,404651
45,53,451697
53,45,451697
45,56,438026
56,45,438026
45,58,431271
58,45,431271
45,59,409336
59,45,409336
45,61,450578
61,45,450578
45,62,442713
62,45,442713
45,67,439671
67,45,439671
45,68,421608
68,45,421608
45,70,418502
70,45,418502
45,72,418990
72,45,418990
45,75,436668
75,45,436668
45,77,438563
77,45,438563
47,48,102691
48,47,102691
47,52,114379
52,47,114379
47,54,31882
54,47,31882
47,55,113845
55,47,113845
47,57,85094
57,47,85094
47,60,59706
60,47,59706
47,63,81519
63,47,81519
47,64,122037
64,47,122037
47,65,86399
65,47,86399
47,66,23626
66,47,23626
47,69,74183
69,47,74183
47,71,78200
71,47,78200
47,73,113724
73,47,113724
47,74,114885
74,47,114885
47,76,15582
76,47,15582
47,78,106702
78,47,106702
47,79,118391
79,47,118391
47,2,119252
2,47,119252
47,4,128077
4,47,128077
47,5,158489
5,47,158489
47,6,140505
6,47,140505
47,7,140860
7,47,140860
47,8,125789
8,47,125789
47,11,141773
11,47,141773
47,12,111697
12,47,111697
47,13,157576
13,47,157576
47,16,111165
16,47,111165
47,18,177651
18,47,177651
47,19,122842
19,47,122842
47,20,177123
20,47,177123
47,21,188462
21,47,188462
47,23,196110
23,47,196110
47,25,148622
25,47,148622
47,28,169220
28,47,169220
47,32,114715
32,47,114715
47,33,110282
33,47,110282
47,35,333686
35,47,333686
47,37,331465
37,47,331465
47,40,361669
40,47,361669
47,42,393681
42,47,393681
47,43,373889
43,47,373889
47,44,328328
44,47,328328
47,46,356999
46,47,356999
47,49,365064
49,47,365064
47,50,351565
50,47,351565
47,51,296649
51,47,296649
47,53,329104
53,47,329104
47,56,355255
56,47,355255
47,58,318401
58,47,318401
47,59,353489
59,47,353489
47,61,365737
61,47,365737
47,62,297634
62,47,297634
47,67,334043
67,47,334043
47,68,336914
68,47,336914
47,70,309438
70,47,309438
47,72,317300
72,47,317300
47,75,349130
75,47,349130
47,77,353318
77,47,353318
48,52,11707
52,48,11707
48,54,116262
54,48,116262
48,55,19866
55,48,19866
48,57,17201
57,48,17201
48,60,41525
60,48,41525
48,63,16679
63,48,16679
48,64,16957
64,48,16957
48,65,24066
65,48,24066
48,66,88761
66,48,88761
48,69,22012
69,48,22012
48,71,39619
71,48,39619
48,73,21775
73,48,21775
48,74,11113
74,48,11113
48,76,115085
76,48,115085
48,78,16638
78,48,16638
48,79,17034
79,48,17034
48,2,96744
2,48,96744
48,4,70937
4,48,70937
48,5,71037
5,48,71037
48,6,76189
6,48,76189
48,7,80867
7,48,80867
48,8,91672
8,48,91672
48,11,62060
11,48,62060
48,12,82675
12,48,82675
48,13,109581
13,48,109581
48,16,117060
16,48,117060
48,18,92367
18,48,92367
48,19,66852
19,48,66852
48,20,97779
20,48,97779
48,21,97864
21,48,97864
48,23,104141
23,48,104141
48,25,72407
25,48,72407
48,28,73337
28,48,73337
48,32,76609
32,48,76609
48,33,93345
33,48,93345
48,35,468800
35,48,468800
48,37,421614
37,48,421614
48,40,495177
40,48,495177
48,42,525483
42,48,525483
48,43,485052
43,48,485052
48,44,488197
44,48,488197
48,46,443790
46,48,443790
48,49,499155
49,48,499155
48,50,471179
50,48,471179
48,51,446145
51,48,446145
48,53,490649
53,48,490649
48,56,494335
56,48,494335
48,58,484096
58,48,484096
48,59,434810
59,48,434810
48,61,489661
61,48,489661
48,62,474695
62,48,474695
48,67,483607
67,48,483607
48,68,480727
68,48,480727
48,70,436995
70,48,436995
48,72,437253
72,48,437253
48,75,476301
75,48,476301
48,77,479480
77,48,479480
52,54,103614
54,52,103614
52,55,15686
55,52,15686
52,57,17493
57,52,17493
52,60,40428
60,52,40428
52,63,22025
63,52,22025
52,64,17536
64,52,17536
52,65,14671
65,52,14671
52,66,88339
66,52,88339
52,69,22180
69,52,22180
52,71,30381
71,52,30381
52,73,16773
73,52,16773
52,74,12938
74,52,12938
52,76,104192
76,52,104192
52,78,17457
78,52,17457
52,79,13001
79,52,13001
52,2,92919
2,52,92919
52,4,56039
4,52,56039
52,5,66436
5,52,66436
52,6,59838
6,52,59838
52,7,82915
7,52,82915
52,8,73979
8,52,73979
52,11,61453
11,52,61453
52,12,85585
12,52,85585
52,13,109267
13,52,109267
52,16,108579
16,52,108579
52,18,86295
18,52,86295
52,19,63387
19,52,63387
52,20,89472
20,52,89472
52,21,97321
21,52,97321
52,23,103620
23,52,103620
52,25,61659
25,52,61659
52,28,68483
28,52,68483
52,32,66455
32,52,66455
52,33,75915
33,52,75915
52,35,460643
35,52,460643
52,37,392299
37,52,392299
52,40,486723
40,52,486723
52,42,517055
42,52,517055
52,43,476029
43,52,476029
52,44,479743
44,52,479743
52,46,436342
46,52,436342
52,49,491035
49,52,491035
52,50,462916
50,52,462916
52,51,436495
51,52,436495
52,53,481917
53,52,481917
52,56,485881
56,52,485881
52,58,475865
58,52,475865
52,59,426038
59,52,426038
52,61,481430
61,52,481430
52,62,465512
62,52,465512
52,67,475411
67,52,475411
52,68,471827
68,52,471827
52,70,427008
70,52,427008
52,72,431596
72,52,431596
52,75,467847
75,52,467847
52,77,470906
77,52,470906
54,55,127593
55,54,127593
54,57,100138
57,54,100138
54,60,46168
60,54,46168
54,63,84205
63,54,84205
54,64,127710
64,54,127710
54,65,82265
65,54,82265
54,66,46259
66,54,46259
54,69,79956
69,54,79956
54,71,75982
71,54,75982
54,73,127594
73,54,127594
54,74,126253
74,54,126253
54,76,19576
76,54,19576
54,78,114499
78,54,114499
54,79,123508
79,54,123508
54,2,136655
2,54,136655
54,4,160794
4,54,160794
54,5,191366
5,54,191366
54,6,140692
6,54,140692
54,7,153507
7,54,153507
54,8,123802
8,54,123802
54,11,161860
11,54,161860
54,12,140341
12,54,140341
54,13,178440
13,54,178440
54,16,122976
16,54,122976
54,18,197984
18,54,197984
54,19,140674
19,54,140674
54,20,187155
20,54,187155
54,21,195448
21,54,195448
54,23,212195
23,54,212195
54,25,148757
25,54,148757
54,28,194467
28,54,194467
54,32,136736
32,54,136736
54,33,109968
33,54,109968
54,35,337394
35,54,337394
54,37,339121
37,54,339121
54,40,358161
40,54,358161
54,42,389369
42,54,389369
54,43,371352
43,54,371352
54,44,344050
44,54,344050
54,46,348501
46,54,348501
54,49,371164
49,54,371164
54,50,345702
50,54,345702
54,51,293993
51,54,293993
54,53,324130
53,54,324130
54,56,352450
56,54,352450
54,58,317945
58,54,317945
54,59,347001
59,54,347001
54,61,362533
61,54,362533
54,62,296679
62,54,296679
54,67,328935
67,54,328935
54,68,335050
68,54,335050
54,70,322587
70,54,322587
54,72,312336
72,54,312336
54,75,346270
75,54,346270
54,77,351865
77,54,351865
55,57,26582
57,55,26582
55,60,53756
60,55,53756
55,63,33198
63,55,33198
55,64,3162
64,55,3162
55,65,29581
65,55,29581
55,66,104865
66,55,104865
55,69,31455
69,55,31455
55,71,44739
71,55,44739
55,73,2396
73,55,2396
55,74,13111
74,55,13111
55,76,126282
76,55,126282
55,78,11766
78,55,11766
55,79,7636
79,55,7636
55,2,77763
2,55,77763
55,4,49287
4,55,49287
55,5,63397
5,55,63397
55,6,62306
6,55,62306
55,7,69627
7,55,69627
55,8,67616
8,55,67616
55,11,50797
11,55,50797
55,12,71235
12,55,71235
55,13,92916
13,55,92916
55,16,111064
16,55,111064
55,18,86141
18,55,86141
55,19,50648
19,55,50648
55,20,95083
20,55,95083
55,21,96241
21,55,96241
55,23,100018
23,55,100018
55,25,60962
25,55,60962
55,28,68020
28,55,68020
55,32,59582
32,55,59582
55,33,77498
33,55,77498
55,35,496761
35,55,496761
55,37,440071
37,55,440071
55,40,499057
40,55,499057
55,42,557572
42,55,557572
55,43,505721
43,55,505721
55,44,491367
44,55,491367
55,46,471799
46,55,471799
55,49,498786
49,55,498786
55,50,490181
50,55,490181
55,51,494162
51,55,494162
55,53,508039
53,55,508039
55,56,499125
56,55,499125
55,58,484517
58,55,484517
55,59,462983
59,55,462983
55,61,489927
61,55,489927
55,62,497988
62,55,497988
55,67,483078
67,55,483078
55,68,488189
68,55,488189
55,70,472866
70,55,472866
55,72,466201
72,55,466201
55,75,478239
75,55,478239
55,77,479213
77,55,479213
57,60,28284
60,57,28284
57,63,19093
63,57,19093
57,64,25616
64,57,25616
57,65,18817
65,57,18817
57,66,73409
66,57,73409
57,69,13990
69,57,13990
57,71,32100
71,57,32100
57,73,28645
73,57,28645
57,74,23072
74,57,23072
57,76,91662
76,57,91662
57,78,17212
78,57,17212
57,79,24959
79,57,24959
57,2,80830
2,57,80830
57,4,78288
4,57,78288
57,5,79568
5,57,79568
57,6,78933
6,57,78933
57,7,91820
7,57,91820
57,8,90721
8,57,90721
57,11,67680
11,57,67680
57,12,76814
12,57,76814
57,13,113459
13,57,113459
57,16,103616
16,57,103616
57,18,107665
18,57,107665
57,19,71626
19,57,71626
57,20,118341
20,57,118341
57,21,118075
21,57,118075
57,23,120836
23,57,120836
57,25,76596
25,57,76596
57,28,90279
28,57,90279
57,32,72627
32,57,72627
57,33,75050
33,57,75050
57,35,452846
35,57,452846
57,37,395258
37,57,395258
57,40,475679
40,57,475679
57,42,478696
42,57,478696
57,43,481370
43,57,481370
57,44,460932
44,57,460932
57,46,440168
46,57,440168
57,49,483727
49,57,483727
57,50,461137
50,57,461137
57,51,413889
51,57,413889
57,53,460499
53,57,460499
57,56,470510
56,57,470510
57,58,444076
58,57,444076
57,59,418313
59,57,418313
57,61,460981
61,57,460981
57,62,452835
62,57,452835
57,67,463301
67,57,463301
57,68,455193
68,57,455193
57,70,432990
70,57,432990
57,72,434036
72,57,434036
57,75,446825
75,57,446825
57,77,457455
77,57,457455
60,63,30798
63,60,30798
60,64,53466
64,60,53466
60,65,36158
65,60,36158
60,66,56100
66,60,56100
60,69,24267
69,60,24267
60,71,23742
71,60,23742
60,73,55438
73,60,55438
60,74,45537
74,60,45537
60,76,66296
76,60,66296
60,78,42802
78,60,42802
60,79,54256
79,60,54256
60,2,100078
2,60,100078
60,4,83716
4,60,83716
60,5,92625
5,60,92625
60,6,79578
6,60,79578
60,7,96868
7,60,96868
60,8,90592
8,60,90592
60,11,84706
11,60,84706
60,12,94723
12,60,94723
60,13,118007
13,60,118007
60,16,96433
16,60,96433
60,18,102556
18,60,102556
60,19,88110
19,60,88110
60,20,104995
20,60,104995
60,21,114379
21,60,114379
60,23,119031
23,60,119031
60,25,78155
25,60,78155
60,28,91135
28,60,91135
60,32,85801
32,60,85801
60,33,67105
33,60,67105
60,35,417612
35,60,417612
60,37,369124
37,60,369124
60,40,419593
40,60,419593
60,42,444787
42,60,444787
60,43,445708
43,60,445708
60,44,394753
44,60,394753
60,46,401725
46,60,401725
60,49,438098
49,60,438098
60,50,423033
50,60,423033
60,51,379941
51,60,379941
60,53,433772
53,60,433772
60,56,413592
56,60,413592
60,58,385778
58,60,385778
60,59,389758
59,60,389758
60,61,427486
61,60,427486
60,62,419980
62,60,419980
60,67,399139
67,60,399139
60,68,399538
68,60,399538
60,70,404832
70,60,404832
60,72,395035
72,60,395035
60,75,414589
75,60,414589
60,77,400416
77,60,400416
63,64,33482
64,63,33482
63,65,18711
65,63,18711
63,66,71645
66,63,71645
63,69,15345
69,63,15345
63,71,32485
71,63,32485
63,73,34322
73,63,34322
63,74,30319
74,63,30319
63,76,91922
76,63,91922
63,78,26994
78,63,26994
63,79,36104
79,63,36104
63,2,96064
2,63,96064
63,4,86377
4,63,86377
63,5,91996
5,63,91996
63,6,80838
6,63,80838
63,7,93978
7,63,93978
63,8,88153
8,63,88153
63,11,79517
11,63,79517
63,12,89264
12,63,89264
63,13,115449
13,63,115449
63,16,111855
16,63,111855
63,18,109666
18,63,109666
63,19,76314
19,63,76314
63,20,123787
20,63,123787
63,21,124956
21,63,124956
63,23,129190
23,63,129190
63,25,77135
25,63,77135
63,28,90780
28,63,90780
63,32,95444
32,63,95444
63,33,81593
33,63,81593
63,35,437390
35,63,437390
63,37,373763
37,63,373763
63,40,464741
40,63,464741
63,42,461573
42,63,461573
63,43,460980
43,63,460980
63,44,447302
44,63,447302
63,46,414943
46,63,414943
63,49,474948
49,63,474948
63,50,443562
50,63,443562
63,51,398287
51,63,398287
63,53,444976
53,63,444976
63,56,459533
56,63,459533
63,58,431060
58,63,431060
63,59,402547
59,63,402547
63,61,447331
61,63,447331
63,62,439856
62,63,439856
63,67,451977
67,63,451977
63,68,441559
68,63,441559
63,70,411311
70,63,411311
63,72,408328
72,63,408328
63,75,433038
75,63,433038
63,77,446061
77,63,446061
64,65,29911
65,64,29911
64,66,104964
66,64,104964
64,69,30810
69,64,30810
64,71,49955
71,64,49955
64,73,4061
73,64,4061
64,74,11069
74,64,11069
64,76,126283
76,64,126283
64,78,9959
78,64,9959
64,79,7754
79,64,7754
64,2,80184
2,64,80184
64,4,52237
4,64,52237
64,5,64961
5,64,64961
64,6,62832
6,64,62832
64,7,71602
7,64,71602
64,8,71446
8,64,71446
64,11,51940
11,64,51940
64,12,71823
12,64,71823
64,13,92020
13,64,92020
64,16,114519
16,64,114519
64,18,86456
18,64,86456
64,19,53134
19,64,53134
64,20,93218
20,64,93218
64,21,97906
21,64,97906
64,23,97814
23,64,97814
64,25,64398
25,64,64398
64,28,67563
28,64,67563
64,32,62430
32,64,62430
64,33,84644
33,64,84644
64,35,493554
35,64,493554
64,37,436685
37,64,436685
64,40,496729
40,64,496729
64,42,544129
42,64,544129
64,43,502741
43,64,502741
64,44,489039
44,64,489039
64,46,467567
46,64,467567
64,49,496458
49,64,496458
64,50,487711
50,64,487711
64,51,490594
51,64,490594
64,53,505111
53,64,505111
64,56,496797
56,64,496797
64,58,482189
58,64,482189
64,59,459415
59,64,459415
64,61,487599
61,64,487599
64,62,493654
62,64,493654
64,67,480750
67,64,480750
64,68,485861
68,64,485861
64,70,470399
70,64,470399
64,72,461758
72,64,461758
64,75,475911
75,64,475911
64,77,476885
77,64,476885
65,66,69531
66,65,69531
65,69,19642
69,65,19642
65,71,22703
71,65,22703
65,73,30625
73,65,30625
65,74,29519
74,65,29519
65,76,81686
76,65,81686
65,78,28520
78,65,28520
65,79,30589
79,65,30589
65,2,77705
2,65,77705
65,4,61085
4,65,61085
65,5,77702
5,65,77702
65,6,60449
6,65,60449
65,7,73830
7,65,73830
65,8,62737
8,65,62737
65,11,71039
11,65,71039
65,12,75702
12,65,75702
65,13,96662
13,65,96662
65,16,91600
16,65,91600
65,18,92131
18,65,92131
65,19,60174
19,65,60174
65,20,97630
20,65,97630
65,21,105410
21,65,105410
65,23,108868
23,65,108868
65,25,77212
25,65,77212
65,28,76240
28,65,76240
65,32,69270
32,65,69270
65,33,59650
33,65,59650
65,35,449292
35,65,449292
65,37,383058
37,65,383058
65,40,475230
40,65,475230
65,42,474635
42,65,474635
65,43,469928
43,65,469928
65,44,458609
44,65,458609
65,46,424321
46,65,424321
65,49,484603
49,65,484603
65,50,455239
50,65,455239
65,51,418165
51,65,418165
65,53,456056
53,65,456056
65,56,470080
56,65,470080
65,58,461003
58,65,461003
65,59,413772
59,65,413772
65,61,458588
61,65,458588
65,62,442875
62,65,442875
65,67,469280
67,65,469280
65,68,451860
68,65,451860
65,70,420306
70,65,420306
65,72,417808
72,65,417808
65,75,444180
75,65,444180
65,77,457197
77,65,457197
66,69,64214
69,66,64214
66,71,51675
71,66,51675
66,73,105223
73,66,105223
66,74,97885
74,66,97885
66,76,28257
76,66,28257
66,78,94354
78,66,94354
66,79,98974
79,66,98974
66,2,90077
2,66,90077
66,4,102368
4,66,102368
66,5,113953
5,66,113953
66,6,98894
6,66,98894
66,7,90339
7,66,90339
66,8,115943
8,66,115943
66,11,108611
11,66,108611
66,12,85732
12,66,85732
66,13,99430
13,66,99430
66,16,81830
16,66,81830
66,18,135433
18,66,135433
66,19,88894
19,66,88894
66,20,147559
20,66,147559
66,21,158768
21,66,158768
66,23,163656
23,66,163656
66,25,123787
25,66,123787
66,28,130679
28,66,130679
66,32,88290
32,66,88290
66,33,86350
33,66,86350
66,35,415942
35,66,415942
66,37,373066
37,66,373066
66,40,413530
40,66,413530
66,42,439267
42,66,439267
66,43,451700
43,66,451700
66,44,415600
44,66,415600
66,46,396324
46,66,396324
66,49,426789
49,66,426789
66,50,425519
50,66,425519
66,51,365418
51,66,365418
66,53,431466
53,66,431466
66,56,404992
56,66,404992
66,58,380724
58,66,380724
66,59,397863
59,66,397863
66,61,418126
61,66,418126
66,62,376722
62,66,376722
66,67,392138
67,66,392138
66,68,395482
68,66,395482
66,70,368278
70,66,368278
66,72,388136
72,66,388136
66,75,404748
75,66,404748
66,77,407714
77,66,407714
69,71,27036
71,69,27036
69,73,33114
73,69,33114
69,74,25448
74,69,25448
69,76,83137
76,69,83137
69,78,25859
78,69,25859
69,79,31862
79,69,31862
69,2,80496
2,69,80496
69,4,68573
4,69,68573
69,5,79387
5,69,79387
69,6,73835
6,69,73835
69,7,73803
7,69,73803
69,8,85100
8,69,85100
69,11,59458
11,69,59458
69,12,72935
12,69,72935
69,13,102317
13,69,102317
69,16,102940
16,69,102940
69,18,104211
18,69,104211
69,19,58139
19,69,58139
69,20,107081
20,69,107081
69,21,110308
21,69,110308
69,23,115967
23,69,115967
69,25,73405
25,69,73405
69,28,78728
28,69,78728
69,32,72647
32,69,72647
69,33,75449
33,69,75449
69,35,445703
35,69,445703
69,37,386271
37,69,386271
69,40,475025
40,69,475025
69,42,472265
42,69,472265
69,43,472756
43,69,472756
69,44,456631
44,69,456631
69,46,428632
46,69,428632
69,49,483942
49,69,483942
69,50,455759
50,69,455759
69,51,414439
51,69,414439
69,53,454631
53,69,454631
69,56,468855
56,69,468855
69,58,441375
58,69,441375
69,59,412401
59,69,412401
69,61,456641
61,69,456641
69,62,441126
62,69,441126
