区域1,区域2,长度
52,17,355
17,53,651
53,17,651
17,54,449
54,17,449
17,55,512
55,17,512
17,56,769
56,17,769
17,57,437
57,17,437
17,58,938
58,17,938
17,59,1022
59,17,1022
17,60,609
60,17,609
17,61,869
61,17,869
17,62,737
62,17,737
17,63,553
63,17,553
17,64,532
64,17,532
17,65,514
65,17,514
17,66,718
66,17,718
17,67,978
67,17,978
17,68,829
68,17,829
17,69,631
69,17,631
17,70,934
70,17,934
17,71,727
71,17,727
17,72,1076
72,17,1076
17,73,646
73,17,646
17,74,620
74,17,620
17,75,869
75,17,869
17,76,614
76,17,614
17,77,1039
77,17,1039
17,78,813
78,17,813
17,79,739
79,17,739
18,19,169
19,18,169
18,20,365
20,18,365
18,21,258
21,18,258
18,22,530
22,18,530
18,23,95
23,18,95
18,24,747
24,18,747
18,25,90
25,18,90
18,26,654
26,18,654
18,27,840
27,18,840
18,28,189
28,18,189
18,29,480
29,18,480
18,30,585
30,18,585
18,31,398
31,18,398
18,32,303
32,18,303
18,33,159
33,18,159
18,34,752
34,18,752
18,35,209
35,18,209
18,36,677
36,18,677
18,37,292
37,18,292
18,38,575
38,18,575
18,39,483
39,18,483
18,40,270
40,18,270
18,41,820
41,18,820
18,42,403
42,18,403
18,43,268
43,18,268
18,44,317
44,18,317
18,45,658
45,18,658
18,46,394
46,18,394
18,47,753
47,18,753
18,48,571
48,18,571
18,49,510
49,18,510
18,50,360
50,18,360
18,51,374
51,18,374
18,52,866
52,18,866
18,53,498
53,18,498
18,54,749
54,18,749
18,55,659
55,18,659
18,56,443
56,18,443
18,57,847
57,18,847
18,58,450
58,18,450
18,59,460
59,18,460
18,60,613
60,18,613
18,61,491
61,18,491
18,62,543
62,18,543
18,63,760
63,18,760
18,64,852
64,18,852
18,65,948
65,18,948
18,66,632
66,18,632
18,67,540
67,18,540
18,68,574
68,18,574
18,69,722
69,18,722
18,70,610
70,18,610
18,71,735
71,18,735
18,72,595
72,18,595
18,73,838
73,18,838
18,74,920
74,18,920
18,75,663
75,18,663
18,76,1006
76,18,1006
18,77,645
77,18,645
18,78,711
78,18,711
18,79,837
79,18,837
19,20,196
20,19,196
19,21,89
21,19,89
19,22,360
22,19,360
19,23,246
23,19,246
19,24,578
24,19,578
19,25,123
25,19,123
19,26,485
26,19,485
19,27,671
27,19,671
19,28,103
28,19,103
19,29,314
29,19,314
19,30,419
30,19,419
19,31,239
31,19,239
19,32,162
32,19,162
19,33,234
33,19,234
19,34,585
34,19,585
19,35,198
35,19,198
19,36,514
36,19,514
19,37,205
37,19,205
19,38,418
38,19,418
19,39,333
39,19,333
19,40,359
40,19,359
19,41,657
41,19,657
19,42,277
42,19,277
19,43,303
43,19,303
19,44,282
44,19,282
19,45,507
45,19,507
19,46,308
46,19,308
19,47,597
47,19,597
19,48,432
48,19,432
19,49,387
49,19,387
19,50,401
50,19,401
19,51,368
51,19,368
19,52,709
52,19,709
19,53,402
53,19,402
19,54,605
54,19,605
19,55,527
55,19,527
19,56,392
56,19,392
19,57,699
57,19,699
19,58,465
58,19,465
19,59,507
59,19,507
19,60,501
60,19,501
19,61,470
61,19,470
19,62,470
62,19,470
19,63,631
63,19,631
19,64,715
64,19,715
19,65,803
65,19,803
19,66,546
66,19,546
19,67,548
67,19,548
19,68,526
68,19,526
19,69,610
69,19,610
19,70,588
70,19,588
19,71,641
71,19,641
19,72,624
72,19,624
19,73,719
73,19,719
19,74,791
74,19,791
19,75,613
75,19,613
19,76,869
76,19,869
19,77,650
77,19,650
19,78,639
78,19,639
19,79,735
79,19,735
20,21,108
21,20,108
20,22,165
22,20,165
20,23,435
23,20,435
20,24,382
24,20,382
20,25,305
25,20,305
20,26,289
26,20,289
20,27,475
27,20,475
20,28,225
28,20,225
20,29,126
29,20,126
20,30,227
30,20,227
20,31,98
31,20,98
20,32,137
32,20,137
20,33,396
33,20,396
20,34,391
34,20,391
20,35,319
35,20,319
20,36,329
36,20,329
20,37,243
37,20,243
20,38,248
38,20,248
20,39,192
39,20,192
20,40,510
40,20,510
20,41,470
41,20,470
20,42,209
42,20,209
20,43,424
43,20,424
20,44,347
44,20,347
20,45,345
45,20,345
20,46,301
46,20,301
20,47,422
47,20,422
20,48,299
48,20,299
20,49,295
49,20,295
20,50,511
50,20,511
20,51,440
51,20,440
20,52,530
52,20,530
20,53,354
53,20,354
20,54,451
54,20,451
20,55,399
55,20,399
20,56,409
56,20,409
20,57,534
57,20,534
20,58,541
58,20,541
20,59,609
59,20,609
20,60,412
60,20,412
20,61,508
61,20,508
20,62,444
62,20,444
20,63,501
63,20,501
20,64,569
64,20,569
20,65,643
65,20,643
20,66,490
66,20,490
20,67,608
67,20,608
20,68,524
68,20,524
20,69,508
69,20,508
20,70,611
70,20,611
20,71,565
71,20,565
20,72,699
72,20,699
20,73,602
73,20,602
20,74,655
74,20,655
20,75,599
75,20,599
20,76,720
76,20,720
20,77,697
77,20,697
20,78,595
78,20,595
20,79,642
79,20,642
21,22,273
22,21,273
21,23,327
23,21,327
21,24,490
24,21,490
21,25,198
25,21,198
21,26,397
26,21,397
21,27,582
27,21,582
21,28,128
28,21,128
21,29,224
29,21,224
21,30,329
30,21,329
21,31,154
31,21,154
21,32,102
32,21,102
21,33,295
33,21,295
21,34,495
34,21,495
21,35,230
35,21,230
21,36,425
36,21,425
21,37,186
37,21,186
21,38,331
38,21,331
21,39,252
39,21,252
21,40,414
40,21,414
21,41,568
41,21,568
21,42,215
42,21,215
21,43,338
43,21,338
21,44,284
44,21,284
21,45,423
45,21,423
21,46,275
46,21,275
21,47,510
47,21,510
21,48,355
48,21,355
21,49,322
49,21,322
21,50,432
50,21,432
21,51,377
51,21,377
21,52,621
52,21,621
21,53,355
53,21,355
21,54,523
54,21,523
21,55,453
55,21,453
21,56,374
56,21,374
21,57,614
57,21,614
21,58,478
58,21,478
21,59,535
59,21,535
21,60,440
60,21,440
21,61,464
61,21,464
21,62,434
62,21,434
21,63,557
63,21,557
21,64,636
64,21,636
21,65,720
65,21,720
21,66,498
66,21,498
21,67,554
67,21,554
21,68,501
68,21,501
21,69,545
69,21,545
21,70,577
70,21,577
21,71,587
71,21,587
21,72,639
72,21,639
21,73,650
73,21,650
21,74,716
74,21,716
21,75,585
75,21,585
21,76,790
76,21,790
21,77,650
77,21,650
21,78,598
78,21,598
21,79,675
79,21,675
22,23,600
23,22,600
22,24,217
24,22,217
22,25,470
25,22,470
22,26,127
26,22,127
22,27,312
27,22,312
22,28,384
28,22,384
22,29,92
29,22,92
22,30,102
30,22,102
22,31,182
31,22,182
22,32,277
32,22,277
22,33,555
33,22,555
22,34,241
34,22,241
22,35,470
35,22,470
22,36,206
36,22,206
22,37,375
37,22,375
22,38,181
38,22,181
22,39,203
39,22,203
22,40,663
40,22,663
22,41,332
41,22,332
22,42,290
42,22,290
22,43,569
43,22,569
22,44,475
44,22,475
22,45,271
45,22,271
22,46,397
46,22,397
22,47,314
47,22,314
22,48,281
48,22,281
22,49,325
49,22,325
22,50,647
50,22,647
22,51,562
51,22,562
22,52,408
52,22,408
22,53,411
53,22,411
22,54,376
54,22,376
22,55,365
55,22,365
22,56,504
56,22,504
22,57,436
57,22,436
22,58,660
58,22,660
22,59,738
59,22,738
22,60,421
60,22,421
22,61,607
61,22,607
22,62,505
62,22,505
22,63,454
63,22,454
22,64,494
64,22,494
22,65,544
65,22,544
22,66,521
66,22,521
22,67,714
67,22,714
22,68,594
68,22,594
22,69,492
69,22,492
22,70,693
70,22,693
22,71,570
71,22,570
22,72,810
72,22,810
22,73,561
73,22,561
22,74,588
74,22,588
22,75,656
75,22,656
22,76,633
76,22,633
22,77,791
77,22,791
22,78,627
78,22,627
22,79,624
79,22,624
23,24,817
24,23,817
23,25,130
25,23,130
23,26,722
26,23,722
23,27,906
27,23,906
23,28,228
28,23,228
23,29,541
29,23,541
23,30,646
30,23,646
23,31,451
31,23,451
23,32,349
32,23,349
23,33,111
33,23,111
23,34,811
34,23,811
23,35,201
35,23,201
23,36,731
36,23,731
23,37,309
37,23,309
23,38,623
38,23,623
23,39,526
39,23,526
23,40,189
40,23,189
23,41,872
41,23,872
23,42,432
42,23,432
23,43,219
43,23,219
23,44,301
44,23,301
23,45,698
45,23,698
23,46,399
46,23,399
23,47,797
47,23,797
23,48,603
48,23,603
23,49,532
49,23,532
23,50,297
50,23,297
23,51,336
51,23,336
23,52,910
52,23,910
23,53,502
53,23,502
23,54,781
54,23,781
23,55,684
55,23,684
23,56,424
56,23,424
23,57,882
57,23,882
23,58,395
58,23,395
23,59,389
59,23,389
23,60,623
60,23,623
23,61,453
61,23,453
23,62,531
62,23,531
23,63,780
63,23,780
23,64,877
64,23,877
23,65,978
65,23,978
23,66,626
66,23,626
23,67,485
67,23,485
23,68,547
68,23,547
23,69,731
69,23,731
23,70,568
70,23,568
23,71,731
71,23,731
23,72,528
72,23,528
23,73,848
73,23,848
23,74,938
74,23,938
23,75,634
75,23,634
23,76,1028
76,23,1028
23,77,588
77,23,588
23,78,693
78,23,693
23,79,836
79,23,836
24,25,686
25,24,686
24,26,97
26,24,97
24,27,100
27,24,100
24,28,597
28,24,597
24,29,282
29,24,282
24,30,190
30,24,190
24,31,379
31,24,379
24,32,482
32,24,482
24,33,766
33,24,766
24,34,110
34,24,110
24,35,675
35,24,675
24,36,181
36,24,181
24,37,570
37,24,570
24,38,268
38,24,268
24,39,352
39,24,352
24,40,867
40,24,867
24,41,203
41,24,203
24,42,462
42,24,462
24,43,767
43,24,767
24,44,662
44,24,662
24,45,295
45,24,295
24,46,566
46,24,566
24,47,259
47,24,259
24,48,372
48,24,372
24,49,450
49,24,450
24,50,836
50,24,836
24,51,741
51,24,741
24,52,297
52,24,297
24,53,545
53,24,545
24,54,360
54,24,360
24,55,413
55,24,413
24,56,663
56,24,663
24,57,366
57,24,366
24,58,832
58,24,832
24,59,917
59,24,917
24,60,506
60,24,506
24,61,762
61,24,762
24,62,631
62,24,631
24,63,462
63,24,462
24,64,455
64,24,455
24,65,456
65,24,456
24,66,615
66,24,615
24,67,871
67,24,871
24,68,723
68,24,723
24,69,535
69,24,535
24,70,828
70,24,828
24,71,629
71,24,629
24,72,969
72,24,969
24,73,561
73,24,561
24,74,547
74,24,547
24,75,765
75,24,765
24,76,556
76,24,556
24,77,933
77,24,933
24,78,712
78,24,712
24,79,649
79,24,649
25,26,591
26,25,591
25,27,775
27,25,775
25,28,102
28,25,102
25,29,410
29,25,410
25,30,515
30,25,515
25,31,322
31,25,322
25,32,222
32,25,222
25,33,116
33,25,116
25,34,681
34,25,681
25,35,125
35,25,125
25,36,602
36,25,602
25,37,201
37,25,201
25,38,496
38,25,496
25,39,401
39,25,401
25,40,242
40,25,242
25,41,744
41,25,744
25,42,315
42,25,315
25,43,206
43,25,206
25,44,232
44,25,232
25,45,575
45,25,575
25,46,303
46,25,303
25,47,672
47,25,672
25,48,485
48,25,485
25,49,421
49,25,421
25,50,304
50,25,304
25,51,299
51,25,299
25,52,785
52,25,785
25,53,407
53,25,407
25,54,663
54,25,663
25,55,571
55,25,571
25,56,357
56,25,357
25,57,762
57,25,762
25,58,384
58,25,384
25,59,409
59,25,409
25,60,522
60,25,522
25,61,413
61,25,413
25,62,454
62,25,454
25,63,671
63,25,671
25,64,764
64,25,764
25,65,861
65,25,861
25,66,542
66,25,542
25,67,472
67,25,472
25,68,490
68,25,490
25,69,632
69,25,632
25,70,533
70,25,533
25,71,645
71,25,645
25,72,537
72,25,537
25,73,747
73,25,747
25,74,831
74,25,831
25,75,579
75,25,579
25,76,917
76,25,917
25,77,577
77,25,577
25,78,623
78,25,623
25,79,747
79,25,747
26,27,185
27,26,185
26,28,500
28,26,500
26,29,184
29,26,184
26,30,96
30,26,96
26,31,282
31,26,282
26,32,385
32,26,385
26,33,669
33,26,669
26,34,122
34,26,122
26,35,578
35,26,578
26,36,131
36,26,131
26,37,473
37,26,473
26,38,185
38,26,185
26,39,259
39,26,259
26,40,770
40,26,770
26,41,221
41,26,221
26,42,367
42,26,367
26,43,670
43,26,670
26,44,566
44,26,566
26,45,236
45,26,236
26,46,472
46,26,472
26,47,235
47,26,235
26,48,293
48,26,293
26,49,365
49,26,365
26,50,740
50,26,740
26,51,647
51,26,647
26,52,307
52,26,307
26,53,459
53,26,459
26,54,323
54,26,323
26,55,351
55,26,351
26,56,572
56,26,572
26,57,356
57,26,356
26,58,739
58,26,739
26,59,823
59,26,823
26,60,434
60,26,434
26,61,673
61,26,673
26,62,548
62,26,548
26,63,418
63,26,418
26,64,432
64,26,432
26,65,458
65,26,458
26,66,541
66,26,541
26,67,781
67,26,781
26,68,640
68,26,640
26,69,478
69,26,478
26,70,744
70,26,744
26,71,568
71,26,568
26,72,879
72,26,879
26,73,522
73,26,522
26,74,527
74,26,527
26,75,688
75,26,688
26,76,554
76,26,554
26,77,847
77,26,847
26,78,643
78,26,643
26,79,601
79,26,601
27,28,682
28,27,682
27,29,365
29,27,365
27,30,264
30,27,264
27,31,460
31,27,460
27,32,565
32,27,565
27,33,849
33,27,849
27,34,118
34,27,118
27,35,755
35,27,755
27,36,215
36,27,215
27,37,646
37,27,646
27,38,323
38,27,323
27,39,417
39,27,417
27,40,945
40,27,945
27,41,162
41,27,162
27,42,530
42,27,530
27,43,842
43,27,842
27,44,731
44,27,731
27,45,319
45,27,319
27,46,628
46,27,628
27,47,252
47,27,252
27,48,414
48,27,414
27,49,500
49,27,500
27,50,904
50,27,904
27,51,806
51,27,806
27,52,249
52,27,249
27,53,593
53,27,593
27,54,357
54,27,357
27,55,432
55,27,432
27,56,718
56,27,718
27,57,334
57,27,334
27,58,891
58,27,891
27,59,979
59,27,979
27,60,536
60,27,536
27,61,814
61,27,814
27,62,673
62,27,673
27,63,460
63,27,460
27,64,430
64,27,430
27,65,407
65,27,407
27,66,643
66,27,643
27,67,923
67,27,923
27,68,764
68,27,764
27,69,544
69,27,544
27,70,868
70,27,868
27,71,641
71,27,641
27,72,1021
72,27,1021
27,73,549
73,27,549
27,74,516
74,27,516
27,75,796
75,27,796
27,76,507
76,27,507
27,77,976
77,27,976
27,78,733
78,27,733
27,79,644
79,27,644
28,29,316
29,28,316
28,30,419
30,28,419
28,31,224
31,28,224
28,32,121
32,28,121
28,33,170
33,28,170
28,34,584
34,28,584
28,35,102
35,28,102
28,36,502
36,28,502
28,37,111
37,28,111
28,38,395
38,28,395
28,39,299
39,28,299
28,40,286
40,28,286
28,41,644
41,28,644
28,42,214
42,28,214
28,43,210
43,28,210
28,44,179
44,28,179
28,45,472
45,28,472
28,46,217
46,28,217
28,47,570
47,28,570
28,48,382
48,28,382
28,49,322
49,28,322
28,50,307
50,28,307
28,51,265
51,28,265
28,52,683
52,28,683
28,53,318
53,28,318
28,54,560
54,28,560
28,55,470
55,28,470
28,56,292
56,28,292
28,57,660
57,28,660
28,58,363
58,28,363
28,59,411
59,28,411
28,60,427
60,28,427
28,61,367
61,28,367
28,62,376
62,28,376
28,63,571
63,28,571
28,64,663
64,28,663
28,65,759
65,28,759
28,66,458
66,28,458
28,67,445
67,28,445
28,68,426
68,28,426
28,69,537
69,28,537
28,70,485
70,28,485
28,71,558
71,28,558
28,72,523
72,28,523
28,73,651
73,28,651
28,74,732
74,28,732
28,75,514
75,28,514
28,76,816
76,28,816
28,77,546
77,28,546
28,78,546
78,28,546
28,79,657
79,28,657
29,30,105
30,29,105
29,31,97
31,29,97
29,32,200
32,29,200
29,33,484
33,29,484
29,34,271
34,29,271
29,35,393
35,29,393
29,36,203
36,29,203
29,37,290
37,29,290
29,38,128
38,29,128
29,39,114
39,29,114
29,40,585
40,29,585
29,41,345
41,29,345
29,42,198
42,29,198
29,43,487
43,29,487
29,44,387
44,29,387
29,45,227
45,29,227
29,46,305
46,29,305
29,47,297
47,29,297
29,48,206
48,29,206
29,49,237
49,29,237
29,50,561
50,29,561
29,51,473
51,29,473
29,52,404
52,29,404
29,53,320
53,29,320
29,54,335
54,29,335
29,55,300
55,29,300
29,56,412
56,29,412
29,57,412
57,29,412
29,58,569
58,29,569
29,59,649
59,29,649
29,60,340
60,29,340
29,61,515
61,29,515
29,62,414
62,29,414
29,63,397
63,29,397
29,64,454
64,29,454
29,65,521
65,29,521
29,66,435
66,29,435
29,67,622
67,29,622
29,68,503
68,29,503
29,69,421
69,29,421
29,70,601
70,29,601
29,71,493
71,29,493
29,72,718
72,29,718
29,73,502
73,29,502
29,74,544
74,29,544
29,75,566
75,29,566
29,76,602
76,29,602
29,77,698
77,29,698
29,78,543
78,29,543
29,79,556
79,29,556
30,31,196
31,30,196
30,32,300
32,30,300
30,33,585
33,30,585
30,34,166
34,30,166
30,35,490
35,30,490
30,36,106
36,30,106
30,37,382
37,30,382
30,38,96
38,30,96
30,39,162
39,30,162
30,40,681
40,30,681
30,41,243
41,30,243
30,42,272
42,30,272
30,43,579
43,30,579
30,44,472
44,30,472
30,45,172
45,30,172
30,46,376
46,30,376
30,47,212
47,30,212
30,48,205
48,30,205
30,49,270
49,30,270
30,50,646
50,30,646
30,51,551
51,30,551
30,52,311
52,30,311
30,53,364
53,30,364
30,54,275
54,30,275
30,55,276
55,30,276
30,56,475
56,30,475
30,57,334
57,30,334
30,58,643
58,30,643
30,59,727
59,30,727
30,60,348
60,30,348
30,61,576
61,30,576
30,62,454
62,30,454
30,63,358
63,30,358
30,64,393
64,30,393
30,65,442
65,30,442
30,66,453
66,30,453
30,67,685
67,30,685
30,68,546
68,30,546
30,69,404
69,30,404
30,70,649
70,30,649
30,71,489
71,30,489
30,72,783
72,30,783
30,73,464
73,30,464
30,74,487
74,30,487
30,75,597
75,30,597
30,76,531
76,30,531
30,77,752
77,30,752
30,78,557
78,30,557
30,79,534
79,30,534
31,32,104
32,31,104
31,33,388
33,31,388
31,34,360
34,31,360
31,35,295
35,31,295
31,36,280
36,31,280
31,37,193
37,31,193
31,38,178
38,31,178
31,39,100
39,31,100
31,40,488
40,31,488
31,41,422
41,31,422
31,42,119
42,31,119
31,43,389
43,31,389
31,44,292
44,31,292
31,45,268
45,31,268
31,46,221
46,31,221
31,47,357
47,31,357
31,48,206
48,31,206
31,49,196
49,31,196
31,50,465
50,31,465
31,51,380
51,31,380
31,52,470
52,31,470
31,53,260
53,31,260
31,54,370
54,31,370
31,55,306
55,31,306
31,56,330
56,31,330
31,57,460
57,31,460
31,58,479
58,31,479
31,59,555
59,31,555
31,60,313
60,31,313
31,61,433
61,31,433
31,62,352
62,31,352
31,63,410
63,31,410
31,64,484
64,31,484
31,65,566
65,31,566
31,66,392
66,31,392
31,67,537
67,31,537
31,68,435
68,31,435
31,69,410
69,31,410
31,70,528
70,31,528
31,71,466
71,31,466
31,72,632
72,31,632
31,73,508
73,31,508
31,74,567
74,31,567
31,75,507
75,31,507
31,76,637
76,31,637
31,77,619
77,31,619
31,78,499
78,31,499
31,79,544
79,31,544
32,33,284
33,32,284
32,34,464
34,32,464
32,35,193
35,32,193
32,36,381
36,32,381
32,37,105
37,32,105
32,38,274
38,32,274
32,39,180
39,32,180
32,40,386
40,32,386
32,41,523
41,32,523
32,42,116
42,32,116
32,43,292
43,32,292
32,44,209
44,32,209
32,45,354
45,32,354
32,46,175
46,32,175
32,47,450
47,32,450
32,48,271
48,32,271
32,49,226
49,32,226
32,50,375
50,32,375
32,51,302
51,32,302
32,52,563
52,32,563
32,53,252
53,32,252
32,54,447
54,32,447
32,55,365
55,32,365
32,56,279
56,32,279
32,57,544
57,32,544
32,58,404
58,32,404
32,59,471
59,32,471
32,60,342
60,32,342
32,61,375
61,32,375
32,62,332
62,32,332
32,63,469
63,32,469
32,64,555
64,32,555
32,65,646
65,32,646
32,66,396
66,32,396
32,67,472
67,32,472
32,68,403
68,32,403
32,69,449
69,32,449
32,70,483
70,32,483
32,71,486
71,32,486
32,72,562
72,32,562
32,73,557
73,32,557
32,74,629
74,32,629
32,75,484
75,32,484
32,76,709
76,32,709
32,77,563
77,32,563
32,78,496
78,32,496
32,79,577
79,32,577
33,34,747
34,33,747
33,35,102
35,33,102
33,36,660
36,33,660
33,37,218
37,33,218
33,38,549
38,33,549
33,39,449
39,33,449
33,40,126
40,33,126
33,41,799
41,33,799
33,42,346
42,33,346
33,43,111
43,33,111
33,44,192
44,33,192
33,45,615
45,33,615
33,46,296
46,33,296
33,47,716
47,33,716
33,48,515
48,33,515
33,49,437
49,33,437
33,50,200
50,33,200
33,51,225
51,33,225
33,52,828
52,33,828
33,53,398
53,33,398
33,54,690
54,33,690
33,55,588
55,33,588
33,56,313
56,33,313
33,57,793
57,33,793
33,58,291
58,33,291
33,59,302
59,33,302
33,60,520
60,33,520
33,61,343
61,33,343
33,62,421
62,33,421
33,63,681
63,33,681
33,64,780
64,33,780
33,65,885
65,33,885
33,66,516
66,33,516
33,67,382
67,33,382
33,68,436
68,33,436
33,69,627
69,33,627
33,70,459
70,33,459
33,71,622
71,33,622
33,72,435
72,33,435
33,73,744
73,33,744
33,74,837
74,33,837
33,75,522
75,33,522
33,76,930
76,33,930
33,77,487
77,33,487
33,78,582
78,33,582
33,79,728
79,33,728
34,35,650
35,34,650
34,36,97
36,34,97
34,37,538
37,34,538
34,38,208
38,34,208
34,39,305
39,34,305
34,40,838
40,34,838
34,41,101
41,34,101
34,42,418
42,34,418
34,43,732
43,34,732
34,44,620
44,34,620
34,45,203
45,34,203
34,46,514
46,34,514
34,47,150
47,34,150
34,48,296
48,34,296
34,49,382
49,34,382
34,50,791
50,34,791
34,51,691
51,34,691
34,52,193
52,34,193
34,53,476
53,34,476
34,54,253
54,34,253
34,55,318
55,34,318
34,56,601
56,34,601
34,57,256
57,34,256
34,58,775
58,34,775
34,59,864
59,34,864
34,60,419
60,34,419
34,61,697
61,34,697
34,62,555
62,34,555
34,63,357
63,34,357
34,64,345
64,34,345
34,65,350
65,34,350
34,66,527
66,34,527
34,67,805
67,34,805
34,68,646
68,34,646
34,69,435
69,34,435
34,70,751
70,34,751
34,71,530
71,34,530
34,72,903
72,34,903
34,73,453
73,34,453
34,74,437
74,34,437
34,75,679
75,34,679
34,76,449
76,34,449
34,77,858
77,34,858
34,78,619
78,34,619
34,79,543
79,34,543
35,36,561
36,35,561
35,37,116
37,35,116
35,38,449
38,35,449
35,39,349
39,35,349
35,40,193
40,35,193
35,41,698
41,35,698
35,42,243
42,35,243
35,43,108
43,35,108
35,44,108
44,35,108
35,45,512
45,35,512
35,46,197
46,35,197
35,47,614
47,35,614
35,48,412
48,35,412
35,49,335
49,35,335
35,50,204
50,35,204
35,51,176
51,35,176
35,52,726
52,35,726
35,53,301
53,35,301
35,54,588
54,35,588
35,55,486
55,35,486
35,56,234
56,35,234
35,57,690
57,35,690
35,58,268
58,35,268
35,59,309
59,35,309
35,60,422
60,35,422
35,61,288
61,35,288
35,62,336
62,35,336
35,63,580
63,35,580
35,64,679
64,35,679
35,65,783
65,35,783
35,66,428
66,35,428
35,67,354
67,35,354
35,68,365
68,35,365
35,69,530
69,35,530
35,70,408
70,35,408
35,71,532
71,35,532
35,72,426
72,35,426
35,73,647
73,35,647
35,74,737
74,35,737
35,75,454
75,35,454
35,76,829
76,35,829
35,77,457
77,35,457
35,78,502
78,35,502
35,79,637
79,35,637
36,37,447
37,36,447
36,38,113
38,36,113
36,39,213
39,36,213
36,40,746
40,36,746
36,41,142
41,36,142
36,42,324
42,36,324
36,43,640
43,36,640
36,44,525
44,36,525
36,45,113
45,36,113
36,46,417
46,36,417
36,47,109
47,36,109
36,48,198
48,36,198
36,49,284
49,36,284
36,50,695
50,36,695
36,51,594
51,36,594
36,52,204
52,36,204
36,53,378
53,36,378
36,54,191
54,36,191
36,55,231
55,36,231
36,56,503
56,36,503
36,57,232
57,36,232
36,58,677
58,36,677
36,59,766
59,36,766
36,60,326
60,36,326
36,61,599
61,36,599
36,62,458
62,36,458
36,63,288
63,36,288
36,64,302
64,36,302
36,65,339
65,36,339
36,66,435
66,36,435
36,67,707
67,36,707
36,68,549
68,36,549
36,69,354
69,36,354
36,70,654
70,36,654
36,71,448
71,36,448
36,72,805
72,36,805
36,73,391
73,36,391
36,74,397
74,36,397
36,75,586
75,36,586
36,76,431
76,36,431
36,77,761
77,36,761
36,78,531
78,36,531
36,79,473
79,36,473
37,38,334
38,37,334
37,39,234
39,37,234
37,40,299
40,37,299
37,41,583
41,37,583
37,42,127
42,37,127
37,43,196
43,37,196
37,44,104
44,37,104
37,45,396
45,37,396
37,46,105
46,37,105
37,47,498
47,37,498
37,48,296
48,37,296
37,49,223
49,37,223
37,50,272
50,37,272
37,51,197
51,37,197
37,52,609
52,37,609
37,53,207
53,37,207
37,54,473
54,37,473
37,55,375
55,37,375
37,56,189
56,37,189
37,57,575
57,37,575
37,58,299
58,37,299
37,59,366
59,37,366
37,60,320
60,37,320
37,61,277
61,37,277
37,62,266
62,37,266
37,63,472
63,37,472
37,64,568
64,37,568
37,65,670
65,37,670
37,66,346
66,37,346
37,67,369
67,37,369
37,68,321
68,37,321
37,69,430
69,37,430
37,70,391
70,37,391
37,71,447
71,37,447
37,72,457
72,37,457
37,73,546
73,37,546
37,74,631
74,37,631
37,75,407
75,37,407
37,76,720
76,37,720
37,77,464
77,37,464
37,78,435
78,37,435
37,79,547
79,37,547
38,39,100
39,38,100
38,40,632
40,38,632
38,41,250
41,38,250
38,42,211
42,38,211
38,43,526
43,38,526
38,44,411
44,38,411
38,45,98
45,38,98
38,46,305
46,38,305
38,47,179
47,38,179
38,48,109
48,38,109
38,49,181
49,38,181
38,50,582
50,38,582
38,51,482
51,38,482
38,52,291
52,38,291
38,53,276
53,38,276
38,54,206
54,38,206
38,55,184
55,38,184
38,56,396
56,38,396
38,57,286
57,38,286
38,58,568
58,38,568
38,59,656
59,38,656
38,60,251
60,38,251
38,61,494
61,38,494
38,62,363
62,38,363
38,63,274
63,38,274
38,64,325
64,38,325
38,65,394
65,38,394
38,66,357
66,38,357
38,67,603
67,38,603
38,68,455
68,38,455
38,69,311
69,38,311
38,70,560
70,38,560
38,71,393
71,38,393
38,72,701
72,38,701
38,73,380
73,38,380
38,74,416
74,38,416
38,75,503
75,38,503
38,76,473
76,38,473
38,77,664
77,38,664
38,78,461
78,38,461
38,79,443
79,38,443
39,40,533
40,39,533
39,41,349
41,39,349
39,42,113
42,39,113
39,43,427
43,39,427
39,44,314
44,39,314
39,45,174
45,39,174
39,46,213
46,39,213
39,47,271
47,39,271
39,48,107
48,39,107
39,49,122
49,39,122
39,50,487
50,39,487
39,51,390
51,39,390
39,52,384
52,39,384
39,53,208
53,39,208
39,54,271
54,39,271
39,55,207
55,39,207
39,56,313
56,39,313
39,57,365
57,39,365
39,58,480
58,39,480
39,59,565
59,39,565
39,60,228
60,39,228
39,61,414
61,39,414
39,62,302
62,39,302
39,63,310
63,39,310
39,64,385
64,39,385
39,65,469
65,39,469
39,66,321
66,39,321
39,67,523
67,39,523
39,68,392
68,39,392
39,69,317
69,39,317
39,70,493
70,39,493
39,71,382
71,39,382
39,72,620
72,39,620
39,73,410
73,39,410
39,74,467
74,39,467
39,75,452
75,39,452
39,76,538
76,39,538
39,77,593
77,39,593
39,78,428
78,39,428
39,79,452
79,39,452
40,41,879
41,40,879
40,42,422
42,40,422
40,43,109
43,40,109
40,44,230
44,40,230
40,45,686
45,40,686
40,46,346
46,40,346
40,47,789
47,40,789
40,48,581
48,40,581
40,49,495
49,40,495
40,50,126
50,40,126
40,51,208
51,40,208
40,52,898
52,40,898
40,53,434
53,40,434
40,54,748
54,40,748
40,55,640
55,40,640
40,56,320
56,40,320
40,57,852
57,40,852
40,58,228
58,40,228
40,59,203
59,40,203
40,60,556
60,40,556
40,61,310
61,40,310
40,62,430
62,40,430
40,63,722
63,40,722
40,64,825
64,40,825
40,65,936
65,40,936
40,66,527
66,40,527
